Site,Date,Parameter,DL,RDC,ResultRaw,ResultCalc
TL,2012-09-18,turbidity,NA,DET,8.12,8.12
TL,2012-09-18,ph,NA,DET,8.33,8.33
TL,2012-09-18,ammonia,NA,DET,0.028,0.028
TL,2012-09-18,organic_carbon_dissolved,NA,DET,21.4,21.4
TL,2012-09-18,organic_carbon_total,NA,DET,18,18
TL,2012-09-18,alkalinity_total,NA,DET,144,144
TL,2012-09-18,specific_conductance,NA,DET,331,331
TL,2012-09-18,total_dissolved_solids,NA,DET,228,228
TL,2012-09-18,total_suspended_solids,NA,DET,6,6
TL,2012-09-18,calcium,NA,DET,51.2,51.2
TL,2012-09-18,chloride,NA,DET,3.8,3.8
TL,2012-09-18,fluoride,NA,DET,0.1,0.1
TL,2012-09-18,magnesium,NA,DET,11.1,11.1
TL,2012-09-18,nitrate,0.01,BDL,0.01,0.005
TL,2012-09-18,nitrite,0.01,BDL,0.01,0.005
TL,2012-09-18,potassium,NA,DET,0.7,0.7
TL,2012-09-18,sodium,NA,DET,10,10
TL,2012-09-18,sulfate,NA,DET,29,29
TL,2013-06-06,turbidity,NA,DET,5.18,5.18
TL,2013-06-06,total_hardness,NA,DET,111,111
TL,2013-06-06,ph,NA,DET,7.74,7.74
TL,2013-06-06,nitrogen_dissolved,NA,DET,0.6,0.6
TL,2013-06-06,nitrogen_total,NA,DET,0.65,0.65
TL,2013-06-06,organic_carbon_dissolved,NA,DET,19.6,19.6
TL,2013-06-06,organic_carbon_total,NA,DET,20.5,20.5
TL,2013-06-06,phosphorus_dissolved,NA,DET,0.009,0.009
TL,2013-06-06,phosphorus_total,NA,DET,0.019,0.019
TL,2013-06-06,alkalinity_total,NA,DET,85.2,85.2
TL,2013-06-06,specific_conductance,NA,DET,203,203
TL,2013-06-06,total_dissolved_solids,NA,DET,140,140
TL,2013-06-06,total_suspended_solids,NA,DET,6,6
TL,2013-06-06,calcium,NA,DET,34.7,34.7
TL,2013-06-06,chloride,0.7,BDL,0.7,0.35
TL,2013-06-06,fluoride,0.1,BDL,0.1,0.05
TL,2013-06-06,magnesium,NA,DET,6,6
TL,2013-06-06,nitrate,NA,DET,0.1,0.1
TL,2013-06-06,nitrite,0.01,BDL,0.01,0.005
TL,2013-06-06,potassium,NA,DET,0.8,0.8
TL,2013-06-06,sodium,NA,DET,2.8,2.8
TL,2013-06-06,sulfate,NA,DET,15,15
TL,2013-06-06,aluminum_dissolved,NA,DET,5.9,5.9
TL,2013-06-06,antimony_dissolved,0.1,BDL,0.1,0.05
TL,2013-06-06,arsenic_dissolved,NA,DET,0.4,0.4
TL,2013-06-06,barium_dissolved,NA,DET,29,29
TL,2013-06-06,cadmium_dissolved,0.05,BDL,0.05,0.025
TL,2013-06-06,cesium_dissolved,0.1,BDL,0.1,0.05
TL,2013-06-06,chromium_dissolved,0.1,BDL,0.1,0.05
TL,2013-06-06,cobalt_dissolved,0.1,BDL,0.1,0.05
TL,2013-06-06,copper_dissolved,NA,DET,0.3,0.3
TL,2013-06-06,iron_dissolved,NA,DET,143,143
TL,2013-06-06,lead_dissolved,NA,DET,0.3,0.3
TL,2013-06-06,lithium_dissolved,NA,DET,2.6,2.6
TL,2013-06-06,manganese_dissolved,NA,DET,5,5
TL,2013-06-06,mercury_dissolved,0.01,BDL,0.01,0.005
TL,2013-06-06,molybdenum_dissolved,NA,DET,0.4,0.4
TL,2013-06-06,nickel_dissolved,NA,DET,0.5,0.5
TL,2013-06-06,rubidium_dissolved,NA,DET,0.8,0.8
TL,2013-06-06,selenium_dissolved,0.3,BDL,0.3,0.15
TL,2013-06-06,silver_dissolved,0.1,BDL,0.1,0.05
TL,2013-06-06,strontium_dissolved,NA,DET,61.3,61.3
TL,2013-06-06,thallium_dissolved,0.1,BDL,0.1,0.05
TL,2013-06-06,titanium_dissolved,NA,DET,0.3,0.3
TL,2013-06-06,uranium_dissolved,NA,DET,0.1,0.1
TL,2013-06-06,vanadium_dissolved,NA,DET,0.2,0.2
TL,2013-06-06,zinc_dissolved,0.4,BDL,0.4,0.2
TL,2013-06-06,aluminum_total,NA,DET,125,125
TL,2013-06-06,antimony_total,0.1,BDL,0.1,0.05
TL,2013-06-06,arsenic_total,NA,DET,0.5,0.5
TL,2013-06-06,barium_total,NA,DET,29.5,29.5
TL,2013-06-06,beryllium_total,0.1,BDL,0.1,0.05
TL,2013-06-06,cadmium_total,0.1,BDL,0.1,0.05
TL,2013-06-06,cesium_total,0.1,BDL,0.1,0.05
TL,2013-06-06,chromium_total,NA,DET,1.1,1.1
TL,2013-06-06,cobalt_total,0.1,BDL,0.1,0.05
TL,2013-06-06,copper_total,NA,DET,0.7,0.7
TL,2013-06-06,iron_total,NA,DET,400,400
TL,2013-06-06,lead_total,NA,DET,0.2,0.2
TL,2013-06-06,lithium_total,NA,DET,2.9,2.9
TL,2013-06-06,manganese_total,NA,DET,23.7,23.7
TL,2013-06-06,mercury_total,0.01,BDL,0.01,0.005
TL,2013-06-06,molybdenum_total,NA,DET,0.5,0.5
TL,2013-06-06,nickel_total,NA,DET,0.7,0.7
TL,2013-06-06,rubidium_total,NA,DET,1,1
TL,2013-06-06,selenium_total,0.5,BDL,0.5,0.25
TL,2013-06-06,silver_total,0.1,BDL,0.1,0.05
TL,2013-06-06,strontium_total,NA,DET,58.8,58.8
TL,2013-06-06,thallium_total,0.1,BDL,0.1,0.05
TL,2013-06-06,titanium_total,NA,DET,2.2,2.2
TL,2013-06-06,uranium_total,NA,DET,0.1,0.1
TL,2013-06-06,vanadium_total,NA,DET,0.7,0.7
TL,2013-06-06,zinc_total,5,BDL,5,2.5
TL,2014-03-20,aluminum_dissolved,NA,DET,3.2,3.2
TL,2014-03-20,antimony_dissolved,NA,DET,0.3,0.3
TL,2014-03-20,arsenic_dissolved,NA,DET,0.3,0.3
TL,2014-03-20,barium_dissolved,NA,DET,67.2,67.2
TL,2014-03-20,beryllium_dissolved,0.1,BDL,0.1,0.05
TL,2014-03-20,cadmium_dissolved,0.05,BDL,0.05,0.025
TL,2014-03-20,cesium_dissolved,0.1,BDL,0.1,0.05
TL,2014-03-20,chromium_dissolved,NA,DET,0.2,0.2
TL,2014-03-20,cobalt_dissolved,NA,DET,0.1,0.1
TL,2014-03-20,copper_dissolved,NA,DET,0.6,0.6
TL,2014-03-20,iron_dissolved,NA,DET,74,74
TL,2014-03-20,lead_dissolved,0.1,BDL,0.1,0.05
TL,2014-03-20,lithium_dissolved,NA,DET,8.7,8.7
TL,2014-03-20,manganese_dissolved,NA,DET,59.3,59.3
TL,2014-03-20,mercury_dissolved,0.01,BDL,0.01,0.005
TL,2014-03-20,molybdenum_dissolved,NA,DET,0.7,0.7
TL,2014-03-20,nickel_dissolved,NA,DET,0.9,0.9
TL,2014-03-20,rubidium_dissolved,NA,DET,0.8,0.8
TL,2014-03-20,selenium_dissolved,0.3,BDL,0.3,0.15
TL,2014-03-20,silver_dissolved,0.1,BDL,0.1,0.05
TL,2014-03-20,strontium_dissolved,NA,DET,182,182
TL,2014-03-20,thallium_dissolved,0.1,BDL,0.1,0.05
TL,2014-03-20,titanium_dissolved,NA,DET,0.2,0.2
TL,2014-03-20,uranium_dissolved,NA,DET,0.5,0.5
TL,2014-03-20,vanadium_dissolved,NA,DET,0.1,0.1
TL,2014-03-20,zinc_dissolved,NA,DET,0.7,0.7
TL,2014-03-20,aluminum_total,NA,DET,35.7,35.7
TL,2014-03-20,antimony_total,NA,DET,0.3,0.3
TL,2014-03-20,arsenic_total,NA,DET,1,1
TL,2014-03-20,barium_total,NA,DET,69.3,69.3
TL,2014-03-20,beryllium_total,0.1,BDL,0.1,0.05
TL,2014-03-20,cadmium_total,0.1,BDL,0.1,0.05
TL,2014-03-20,cesium_total,0.1,BDL,0.1,0.05
TL,2014-03-20,chromium_total,NA,DET,0.6,0.6
TL,2014-03-20,cobalt_total,NA,DET,0.2,0.2
TL,2014-03-20,copper_total,NA,DET,0.8,0.8
TL,2014-03-20,iron_total,NA,DET,537,537
TL,2014-03-20,lead_total,NA,DET,0.2,0.2
TL,2014-03-20,lithium_total,NA,DET,9.2,9.2
TL,2014-03-20,manganese_total,NA,DET,63.5,63.5
TL,2014-03-20,mercury_total,0.01,BDL,0.01,0.005
TL,2014-03-20,molybdenum_total,NA,DET,0.8,0.8
TL,2014-03-20,nickel_total,NA,DET,1,1
TL,2014-03-20,rubidium_total,NA,DET,1,1
TL,2014-03-20,selenium_total,0.5,BDL,0.5,0.25
TL,2014-03-20,silver_total,0.1,BDL,0.1,0.05
TL,2014-03-20,strontium_total,NA,DET,185,185
TL,2014-03-20,thallium_total,0.1,BDL,0.1,0.05
TL,2014-03-20,titanium_total,NA,DET,0.9,0.9
TL,2014-03-20,uranium_total,NA,DET,0.6,0.6
TL,2014-03-20,vanadium_total,0.1,BDL,0.1,0.05
TL,2014-03-20,zinc_total,NA,DET,9.4,9.4
TL,2014-06-10,turbidity,NA,DET,3.655,3.655
TL,2014-06-10,total_hardness,NA,DET,106,106
TL,2014-06-10,ph,NA,DET,8.105,8.105
TL,2014-06-10,nitrogen_dissolved,NA,DET,0.52,0.52
TL,2014-06-10,organic_carbon_dissolved,NA,DET,17.2,17.2
TL,2014-06-10,organic_carbon_total,NA,DET,17.85,17.85
TL,2014-06-10,phosphorus_total,NA,DET,0.0095,0.0095
TL,2014-06-10,alkalinity_total,NA,DET,93,93
TL,2014-06-10,specific_conductance,NA,DET,215,215
TL,2014-06-10,total_dissolved_solids,NA,DET,157,157
TL,2014-06-10,total_suspended_solids,NA,DET,5,5
TL,2014-06-10,calcium,NA,DET,32.75,32.75
TL,2014-06-10,chloride,NA,DET,1,1
TL,2014-06-10,fluoride,0.1,BDL,0.1,0.05
TL,2014-06-10,magnesium,NA,DET,5.95,5.95
TL,2014-06-10,nitrate,NA,DET,0.075,0.075
TL,2014-06-10,nitrite,0.01,BDL,0.01,0.005
TL,2014-06-10,potassium,NA,DET,0.75,0.75
TL,2014-06-10,sodium,NA,DET,3.8,3.8
TL,2014-06-10,sulfate,NA,DET,15,15
TL,2014-06-10,aluminum_dissolved,NA,DET,6.6,6.6
TL,2014-06-10,antimony_dissolved,0.1,BDL,0.1,0.05
TL,2014-06-10,arsenic_dissolved,NA,DET,0.3,0.3
TL,2014-06-10,barium_dissolved,NA,DET,39.9,39.9
TL,2014-06-10,beryllium_dissolved,0.1,BDL,0.1,0.05
TL,2014-06-10,cadmium_dissolved,0.05,BDL,0.05,0.025
TL,2014-06-10,cesium_dissolved,0.1,BDL,0.1,0.05
TL,2014-06-10,chromium_dissolved,0.1,BDL,0.1,0.05
TL,2014-06-10,cobalt_dissolved,0.1,BDL,0.1,0.05
TL,2014-06-10,copper_dissolved,0.2,BDL,0.2,0.1
TL,2014-06-10,iron_dissolved,NA,DET,109,109
TL,2014-06-10,lead_dissolved,0.1,BDL,0.1,0.05
TL,2014-06-10,lithium_dissolved,NA,DET,4.05,4.05
TL,2014-06-10,manganese_dissolved,NA,DET,3.8,3.8
TL,2014-06-10,mercury_dissolved,0.01,BDL,0.01,0.005
TL,2014-06-10,molybdenum_dissolved,NA,DET,0.6,0.6
TL,2014-06-10,nickel_dissolved,NA,DET,0.7,0.7
TL,2014-06-10,rubidium_dissolved,NA,DET,0.45,0.45
TL,2014-06-10,strontium_dissolved,NA,DET,66.95,66.95
TL,2014-06-10,thallium_dissolved,0.1,BDL,0.1,0.05
TL,2014-06-10,titanium_dissolved,NA,DET,0.25,0.25
TL,2014-06-10,uranium_dissolved,NA,DET,0.25,0.25
TL,2014-06-10,vanadium_dissolved,NA,DET,0.1,0.1
TL,2014-06-10,zinc_dissolved,0.4,BDL,0.4,0.2
TL,2014-06-10,aluminum_total,NA,DET,71.55,71.55
