Site,Date,Parameter,DL,RDC,ResultRaw,ResultCalc
WC,2011-12-15,turbidity,NA,NUM,7.66,7.66
WC,2011-12-15,total_hardness,NA,NUM,209.5,209.5
WC,2011-12-15,ph,NA,NUM,7.88,7.88
WC,2011-12-15,ammonia,NA,NUM,0.07,0.07
WC,2011-12-15,nitrogen_dissolved,NA,NUM,0.53,0.53
WC,2011-12-15,nitrogen_total,NA,NUM,0.54,0.54
WC,2011-12-15,organic_carbon_dissolved,NA,NUM,11.8,11.8
WC,2011-12-15,organic_carbon_total,NA,NUM,12.3,12.3
WC,2011-12-15,phosphorus_total,NA,NUM,0.02,0.02
WC,2011-12-15,alkalinity_total,NA,NUM,193,193
WC,2011-12-15,specific_conductance,NA,NUM,421,421
WC,2011-12-15,total_dissolved_solids,NA,NUM,255,255
WC,2011-12-15,total_suspended_solids,NA,NUM,6,6
WC,2011-12-15,calcium,NA,NUM,61.8,61.8
WC,2011-12-15,chloride,NA,NUM,4.3,4.3
WC,2011-12-15,fluoride,0.1,BDL,0.1,0.05
WC,2011-12-15,magnesium,NA,NUM,13.2,13.2
WC,2011-12-15,nitrate,NA,NUM,0.205,0.205
WC,2011-12-15,nitrite,0.01,BDL,0.01,0.005
WC,2011-12-15,potassium,NA,NUM,0.7,0.7
WC,2011-12-15,sodium,NA,NUM,10.3,10.3
WC,2011-12-15,sulfate,NA,NUM,26.5,26.5
WC,2011-12-15,aluminum_total,NA,NUM,44,44
WC,2011-12-15,antimony_total,NA,NUM,0.3,0.3
WC,2011-12-15,arsenic_total,NA,NUM,0.5,0.5
WC,2011-12-15,barium_total,NA,NUM,103,103
WC,2011-12-15,beryllium_total,0.1,BDL,0.1,0.05
WC,2011-12-15,cadmium_total,0.1,BDL,0.1,0.05
WC,2011-12-15,cesium_total,0.1,BDL,0.1,0.05
WC,2011-12-15,chromium_total,NA,NUM,0.15,0.15
WC,2011-12-15,cobalt_total,0.1,BDL,0.1,0.05
WC,2011-12-15,copper_total,NA,NUM,1.05,1.05
WC,2011-12-15,iron_total,NA,NUM,1290,1290
WC,2011-12-15,lithium_total,NA,NUM,8.15,8.15
WC,2011-12-15,mercury_total,0.01,BDL,0.01,0.005
WC,2011-12-15,molybdenum_total,NA,NUM,0.8,0.8
WC,2011-12-15,nickel_total,NA,NUM,1.15,1.15
WC,2011-12-15,rubidium_total,NA,NUM,0.7,0.7
WC,2011-12-15,selenium_total,0.5,BDL,0.5,0.25
WC,2011-12-15,silver_total,0.1,BDL,0.1,0.05
WC,2011-12-15,strontium_total,NA,NUM,121,121
WC,2011-12-15,thallium_total,0.1,BDL,0.1,0.05
WC,2011-12-15,titanium_total,NA,NUM,1.1,1.1
WC,2011-12-15,uranium_total,NA,NUM,0.7,0.7
WC,2011-12-15,vanadium_total,NA,NUM,0.5,0.5
WC,2011-12-15,zinc_total,5,BDL,5,2.5
WC,2011-12-15,phosphorus_dissolved,0.01,BDL,0.01,0.005
WC,2011-12-15,lead_total,NA,NUM,0.125,0.125
WC,2012-03-22,turbidity,NA,NUM,0.1,0.1
WC,2012-03-22,total_hardness,NA,NUM,0.01,0.01
WC,2012-03-22,ph,NA,NUM,8.48,8.48
WC,2012-03-22,ammonia,NA,NUM,0.08,0.08
WC,2012-03-22,nitrogen_dissolved,NA,NUM,0.66,0.66
WC,2012-03-22,nitrogen_total,NA,NUM,0.68,0.68
WC,2012-03-22,organic_carbon_dissolved,NA,NUM,13.4,13.4
WC,2012-03-22,organic_carbon_total,NA,NUM,13.8,13.8
WC,2012-03-22,phosphorus_dissolved,NA,NUM,502,502
WC,2012-03-22,phosphorus_total,NA,NUM,7.85,7.85
WC,2012-03-22,alkalinity_total,NA,NUM,312,312
WC,2012-03-22,specific_conductance,NA,NUM,4,4
WC,2012-03-22,total_dissolved_solids,NA,NUM,77,77
WC,2012-03-22,total_suspended_solids,NA,NUM,6.5,6.5
WC,2012-03-22,calcium,NA,NUM,259,259
WC,2012-03-22,chloride,NA,NUM,16.2,16.2
WC,2012-03-22,fluoride,NA,NUM,0.33,0.33
WC,2012-03-22,magnesium,NA,NUM,1,1
WC,2012-03-22,nitrate,NA,NUM,12.1,12.1
WC,2012-03-22,nitrite,NA,NUM,22,22
WC,2012-03-22,potassium,0.2,BDL,0.2,0.1
WC,2012-03-22,sodium,0.2,BDL,0.2,0.1
WC,2012-03-22,sulfate,0.2,BDL,0.2,0.1
WC,2012-03-22,aluminum_total,NA,NUM,13,13
WC,2012-03-22,antimony_total,0.1,BDL,0.1,0.05
WC,2012-03-22,arsenic_total,NA,NUM,0.3,0.3
WC,2012-03-22,barium_total,NA,NUM,129,129
